period,ebitda_source,scenario,n_actual_quarters,revenue_musd,adj_ebitda_musd,da_musd,sbc_musd,op_income_musd,interest_income_musd,interest_expense_musd,other_income_musd,pretax_income_musd,tax_provision_musd,net_income_musd,cfo_musd,capex_musd,fcf_musd,fcf_seasonal_other_musd,diluted_shares_m,adj_ebitda_margin_pct,op_margin_pct,tax_rate_pct,eps_diluted,eps_sum_of_quarters,fcf_margin_pct,fcf_margin_seasonal_other_pct,sbc_pct_rev,street_ebitda_musd,street_revenue_musd,street_eps,street_net_income_musd,street_fcf_musd,street_ebit_musd,street_pretax_musd,street_as_of
FY2026,driver-lines,base,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,691.5621032587189,132.0,61.414824225206445,3900.952481849721,692.1314467329498,3208.8210351167713,4945.5024255547905,38.858641991563914,4906.643783563227,5127.8450478007135,595.7568600364291,36.262484101766866,22.98810353527775,17.7426269597819,5.386125196981466,5.410751332940353,34.38880364737595,35.93911933727714,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,base,0,15828.606600000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,765.2348502541582,148.0,14.829648450412895,4058.954487888984,710.3170353805721,3348.6374525084116,5397.470618377081,35.717283983127835,5361.753334393954,5571.374565234813,573.0411602185749,35.14001976449401,21.64997890076068,17.499999999999996,5.843624655567747,5.857508408185321,33.87381763846449,35.19813655129197,12.96860594223096,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,base,0,17137.441,6022.100154528502,82.53588239963007,2323.2556391090143,3616.3086330198576,794.5100425825694,148.0,14.829648450412895,4277.64832405284,748.5884567092469,3529.0598673435925,5836.945124710506,35.717283983127835,5801.227840727379,6010.849071568238,551.7444137461971,35.14001976449402,21.101800630676763,17.499999999999996,6.396185950270378,6.402043412805638,33.85119073919717,35.07436770500472,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,bear,2,14164.807,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,689.2842876263994,132.0,61.414824225206445,3898.674666217402,691.7214399191322,3206.9532262982693,4975.611168495858,38.858641991563914,4936.752526504293,5157.953790741781,595.7568600364291,36.52702924776747,23.155808295628706,17.742476588595654,5.382990010559294,5.407576914402711,34.85223996701327,36.41386565127065,12.80454933282327,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,bear,0,14948.333900000001,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,742.9386984942925,148.0,14.829648450412895,4036.6583361291177,706.4152088225956,3330.243127306522,5400.655698794707,35.717283983127835,5364.938414811579,5574.559645652438,573.0411602185749,37.209333995971306,22.92489592558815,17.5,5.811525172181818,5.825393624913921,35.88987542492329,37.292180405820595,13.732297056195419,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,bear,0,17137.441,6376.727660052527,82.53588239963007,2323.2556391090143,3970.936138543882,792.6785828393811,148.0,14.829648450412895,4630.444369833676,810.3277647208931,3820.1166051127825,6128.001862479697,35.717283983127835,6092.284578496569,6301.905809337428,551.7444137461971,37.20933399597132,23.171114862154052,17.499999999999996,6.92370690112694,6.930055339609309,35.54955829459352,36.77273526040106,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,bull,2,14391.9366,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,693.8837962728763,132.0,61.414824225206445,3903.2741748638787,692.5493514754982,3210.7248233883806,4917.4667999211,38.858641991563914,4878.608157929536,5099.8094221670235,595.7568600364291,35.95056968066281,22.790369673847753,17.74278004694994,5.38932077625099,5.413988024260581,33.89820490127462,35.435185436871805,12.602471443726369,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
FY2027,driver-lines,bull,0,16570.7436,5562.175487684005,82.53588239963007,2052.749616099962,3426.889989184412,784.5969724998841,148.0,14.829648450412895,4078.3166101347097,713.7054067735742,3364.6112033611353,5370.393588074044,35.717283983127835,5334.6763040909145,5544.297534931773,573.0411602185749,33.56623952400062,20.680363367546235,17.5,5.871500054337759,5.885427036488083,32.19334287503498,33.458350866836014,12.387794209186618,5766.09917,15819.33924,6.22753,3673.10096,5353.28071,3804.41627,4568.60679,2026-09-11
FY2028,driver-lines,bull,0,17137.441,5752.3944943442875,82.53588239963007,2323.2556391090143,3346.602972835644,796.6017585980471,148.0,14.829648450412895,4010.034379884103,701.7560164797181,3308.2783634043853,5616.1636207713,35.717283983127835,5580.446336788172,5790.067567629031,551.7444137461971,33.56623952400062,19.528020390183368,17.5,5.996034179924106,6.001503330219599,32.56289160550967,33.786068571317216,13.556607658687282,6602.71735,17535.09557,7.51977,4363.9685,5771.48889,4510.0635,5556.67012,2026-09-11
FY2026,driver-lines,etr_16,2,14268.1433,5173.983195779814,80.26794119981503,1813.7397002142038,3279.9755543657957,691.5621032587189,132.0,61.414824225206445,3900.952481849721,637.6723970959554,3263.2800847537655,4999.961475191784,38.858641991563914,4961.102833200221,5182.304097437708,595.7568600364291,36.262484101766866,22.98810353527775,16.346582022285727,5.477536732945423,5.5029647800852395,34.770486452853476,36.32080214275468,12.71181303746931,5053.72214,14189.55705,5.31259,3185.949,4917.945,3234.70586,3948.03736,2026-09-11
